Date,Open,High,Low,Close,Adj Close,Volume
2004-11-05,3.390000,3.400000,3.380000,3.380000,2.893098,818
2004-11-08,3.410000,3.440000,3.400000,3.430000,2.935895,12096
2004-11-09,3.450000,3.470000,3.370000,3.470000,2.970133,26213
2004-11-10,3.470000,3.470000,3.410000,3.450000,2.953014,8307
2004-11-11,3.440000,3.440000,3.400000,3.440000,2.944455,1122
2004-11-12,3.430000,3.430000,3.400000,3.400000,2.910217,5421
2004-11-15,3.460000,3.580000,3.460000,3.530000,3.021490,28545
2004-11-16,3.520000,3.550000,3.520000,3.550000,3.038609,4100
2004-11-17,3.550000,3.570000,3.510000,3.570000,3.055728,826
2004-11-18,3.560000,3.580000,3.520000,3.580000,3.064287,2732
2004-11-19,3.570000,3.580000,3.550000,3.580000,3.064287,5131
2004-11-22,3.580000,3.670000,3.580000,3.650000,3.124204,6671
2004-11-23,3.660000,3.760000,3.660000,3.700000,3.167001,25720
2004-11-24,3.700000,3.730000,3.620000,3.700000,3.167001,4482
2004-11-25,3.690000,3.720000,3.600000,3.700000,3.167001,2818
2004-11-26,3.630000,3.690000,3.590000,3.630000,3.107085,4662
2004-11-29,3.610000,3.650000,3.470000,3.500000,2.995812,9858
2004-11-30,3.490000,3.540000,3.450000,3.540000,3.030049,9683
2004-12-01,3.500000,3.500000,3.440000,3.500000,2.995812,8234
2004-12-02,3.500000,3.550000,3.500000,3.530000,3.021490,540
2004-12-03,3.510000,3.550000,3.490000,3.550000,3.038609,4333
2004-12-06,3.500000,3.550000,3.500000,3.550000,3.038609,2814
2004-12-07,3.550000,3.570000,3.520000,3.570000,3.055728,1503
2004-12-08,3.520000,3.570000,3.520000,3.570000,3.055728,11333
2004-12-09,3.530000,3.550000,3.530000,3.550000,3.038609,585
2004-12-10,3.550000,3.580000,3.520000,3.580000,3.064287,635
2004-12-13,3.570000,3.570000,3.520000,3.520000,3.012930,11
2004-12-14,3.550000,3.560000,3.510000,3.550000,3.038609,7218
2004-12-15,3.550000,3.610000,3.550000,3.590000,3.072847,20986
2004-12-16,3.640000,3.710000,3.600000,3.710000,3.175560,45625
2004-12-17,3.710000,3.730000,3.680000,3.700000,3.167001,12896
2004-12-20,3.760000,4.060000,3.750000,4.020000,3.440904,89767
2004-12-21,3.990000,4.000000,3.900000,3.900000,3.338191,6411
2004-12-22,3.910000,3.940000,3.900000,3.940000,3.372428,5770
2004-12-23,3.930000,3.950000,3.910000,3.910000,3.346750,5149
2004-12-24,3.920000,3.950000,3.910000,3.950000,3.380988,3844
2004-12-27,3.950000,3.950000,3.900000,3.950000,3.380988,6216
2004-12-28,3.950000,4.020000,3.930000,4.000000,3.423785,21073
2004-12-29,4.010000,4.130000,4.010000,4.110000,3.517939,62379
2004-12-30,4.100000,4.490000,4.100000,4.440000,3.800401,102275
2004-12-31,4.490000,4.880000,4.440000,4.730000,4.048626,104580
2005-01-03,4.840000,5.080000,4.630000,4.770000,4.082863,104752
2005-01-04,4.800000,4.800000,4.620000,4.670000,3.997268,38893
2005-01-05,4.700000,4.750000,4.620000,4.690000,4.014388,19888
2005-01-06,4.740000,4.750000,4.690000,4.690000,4.014388,16535
2005-01-07,4.700000,4.740000,4.640000,4.700000,4.022947,30945
2005-01-10,4.740000,4.780000,4.710000,4.750000,4.065745,17590
2005-01-11,4.740000,4.750000,4.650000,4.690000,4.014388,17123
2005-01-12,4.650000,4.700000,4.640000,4.700000,4.022947,10200
2005-01-13,4.700000,4.700000,4.650000,4.690000,4.014388,10102
2005-01-14,4.650000,4.690000,4.650000,4.680000,4.005829,8513
2005-01-17,4.680000,4.700000,4.440000,4.540000,3.885996,98099
2005-01-18,4.600000,4.600000,4.540000,4.540000,3.885996,8096
2005-01-19,4.650000,4.700000,4.440000,4.450000,3.808960,35782
2005-01-20,4.480000,4.600000,4.480000,4.600000,3.937352,14423
2005-01-21,4.600000,4.690000,4.590000,4.670000,3.997268,9307
2005-01-24,4.650000,4.650000,4.520000,4.580000,3.920234,9636
2005-01-25,4.580000,4.600000,4.490000,4.580000,3.920234,12118
2005-01-26,4.580000,4.670000,4.580000,4.650000,3.980150,123496
2005-01-27,4.720000,5.080000,4.720000,4.940000,4.228374,92486
